user_id,group,age,city,device,reg_date
user_00000,A,39.0,Другой,Android,2022-11-28
user_00001,B,33.0,Москва,iOS,2025-02-02
user_00002,A,41.0,Новосибирск,iOS,2023-05-11
user_00003,B,50.0,Санкт-Петербург,Android,2024-08-03
user_00004,A,32.0,,Android,2024-01-22
user_00005,B,32.0,Екатеринбург,iOS,2024-10-22
user_00006,A,50.0,Екатеринбург,iOS,2024-01-25
user_00007,B,42.0,Екатеринбург,Android,2025-03-12
user_00008,A,30.0,Санкт-Петербург,Android,2025-10-02
user_00009,B,40.0,,iOS,2023-09-05
user_00010,A,30.0,Санкт-Петербург,iOS,2023-10-13
user_00011,B,30.0,,Android,2023-11-29
user_00012,A,37.0,Москва,Android,2024-02-13
user_00013,B,18.0,Москва,,2024-04-18
user_00014,A,18.0,Санкт-Петербург,iOS,2023-12-20
user_00015,B,29.0,Санкт-Петербург,Android,2023-07-10
user_00016,A,24.0,Екатеринбург,Android,2023-11-24
user_00017,B,38.0,Санкт-Петербург,iOS,2023-03-09
user_00018,A,25.0,Екатеринбург,iOS,2025-06-19
user_00019,B,20.0,Санкт-Петербург,Android,2023-04-16
user_00020,A,49.0,Другой,iOS,2024-07-05
user_00021,B,32.0,Санкт-Петербург,iOS,2023-04-04
user_00022,A,35.0,Москва,Android,2024-04-14
user_00023,B,20.0,Екатеринбург,Android,2023-06-07
user_00024,A,29.0,Екатеринбург,iOS,2023-12-27
user_00025,B,36.0,Другой,iOS,2025-08-11
user_00026,A,23.0,Москва,Android,2024-09-25
user_00027,B,38.0,Санкт-Петербург,Android,2024-11-18
user_00028,A,28.0,Другой,iOS,2023-08-07
user_00029,B,32.0,,iOS,2024-03-12
user_00030,A,28.0,Новосибирск,Android,2023-06-10
user_00031,B,53.0,Новосибирск,Android,2024-06-23
user_00032,A,34.0,Санкт-Петербург,iOS,2023-04-09
user_00033,B,24.0,Москва,iOS,2023-12-19
user_00034,A,43.0,Москва,Android,2024-08-29
user_00035,B,22.0,Москва,Android,2025-08-09
user_00036,A,37.0,Москва,iOS,2025-05-28
user_00037,B,18.0,Новосибирск,iOS,2024-09-20
user_00038,A,21.0,Москва,Android,2024-08-05
user_00039,B,36.0,Новосибирск,iOS,2023-09-26
user_00040,A,42.0,Санкт-Петербург,iOS,2024-12-03
user_00041,B,36.0,Санкт-Петербург,Android,2024-08-26
user_00042,A,,Санкт-Петербург,Android,2025-04-13
user_00043,B,31.0,Санкт-Петербург,iOS,2023-10-29
user_00044,A,20.0,Новосибирск,iOS,2022-11-27
user_00045,B,27.0,Новосибирск,Android,2024-08-20
user_00046,A,30.0,Санкт-Петербург,Android,2024-04-05
user_00047,B,,Санкт-Петербург,iOS,2024-02-14
user_00048,A,,Екатеринбург,iOS,2025-04-29
user_00049,B,18.0,Другой,Android,2024-06-06
user_00050,A,38.0,Москва,Android,2024-11-23
user_00051,B,31.0,Новосибирск,iOS,2023-08-20
user_00052,A,28.0,Санкт-Петербург,iOS,2024-09-27
user_00053,B,102.0,Екатеринбург,Android,2025-07-27
user_00054,A,45.0,Москва,Android,2025-06-22
user_00055,B,44.0,Санкт-Петербург,iOS,2025-05-18
user_00056,A,,Новосибирск,iOS,2024-11-21
user_00057,B,31.0,Новосибирск,Android,2024-08-04
user_00058,A,38.0,Новосибирск,iOS,2025-08-11
user_00059,B,44.0,Екатеринбург,iOS,2023-06-28
user_00060,A,30.0,Санкт-Петербург,Android,2023-11-12
user_00061,B,33.0,Екатеринбург,Android,2023-05-04
user_00062,A,23.0,Новосибирск,iOS,2024-06-14
user_00063,B,23.0,Другой,iOS,2023-08-31
user_00064,A,43.0,Москва,Android,2023-12-25
user_00065,B,,Москва,Android,2024-05-10
user_00066,A,34.0,Москва,iOS,2023-04-23
user_00067,B,45.0,Другой,iOS,2023-04-21
user_00068,A,38.0,Другой,Android,2022-12-26
user_00069,B,28.0,Новосибирск,Android,2025-09-21
user_00070,A,38.0,Москва,iOS,2023-01-20
user_00071,B,50.0,Санкт-Петербург,iOS,2025-02-24
user_00072,A,,,Android,2024-01-27
user_00073,B,50.0,Москва,Android,2023-02-01
user_00074,A,18.0,Москва,iOS,2024-05-04
user_00075,B,43.0,Другой,iOS,2025-07-11
user_00076,A,35.0,,Android,2023-09-18
user_00077,B,32.0,Москва,iOS,2024-12-06
user_00078,A,35.0,Другой,iOS,2025-01-29
user_00079,B,18.0,Новосибирск,Android,2024-02-18
user_00080,A,32.0,Санкт-Петербург,Android,2024-07-05
user_00081,B,38.0,Москва,iOS,2023-08-19
user_00082,A,49.0,Москва,iOS,2025-06-26
user_00083,B,29.0,Санкт-Петербург,Android,2025-09-09
user_00084,A,26.0,Екатеринбург,iOS,2025-09-28
user_00085,B,29.0,,iOS,2023-05-22
user_00086,A,44.0,Москва,Android,2025-02-07
user_00087,B,38.0,Екатеринбург,Android,2024-12-02
user_00088,A,29.0,Москва,iOS,2025-09-11
user_00089,B,40.0,Санкт-Петербург,iOS,2022-12-09
user_00090,A,35.0,Санкт-Петербург,Android,2024-03-21
user_00091,B,44.0,Другой,Android,2023-10-23
user_00092,A,27.0,Москва,iOS,2025-10-05
user_00093,B,31.0,Санкт-Петербург,iOS,2023-09-01
user_00094,A,31.0,Другой,Android,2025-05-19
user_00095,B,20.0,Москва,Android,2023-10-10
user_00096,A,37.0,,iOS,2023-11-19
user_00097,B,37.0,Санкт-Петербург,iOS,2023-09-13
user_00098,A,35.0,Москва,Android,2025-08-04
user_00099,B,32.0,Москва,Android,2024-11-21
user_00100,A,20.0,Санкт-Петербург,iOS,2023-02-08
user_00101,B,30.0,Новосибирск,iOS,2024-02-09
user_00102,A,31.0,Москва,Android,2025-08-12
user_00103,B,26.0,Москва,iOS,2024-03-06
user_00104,A,33.0,Москва,iOS,2023-03-26
user_00105,B,39.0,Москва,Android,2024-05-12
user_00106,A,53.0,Новосибирск,Android,2024-12-13
user_00107,B,36.0,Москва,iOS,2024-03-11
user_00108,A,37.0,Другой,iOS,2023-02-13
user_00109,B,34.0,Москва,Android,2024-01-15
user_00110,A,18.0,,Android,2025-10-13
user_00111,B,,,iOS,2024-11-26
user_00112,A,35.0,Москва,iOS,2025-01-20
user_00113,B,59.0,Санкт-Петербург,Android,2025-07-06
user_00114,A,33.0,Новосибирск,Android,2025-06-06
user_00115,B,38.0,Москва,iOS,2023-02-21
user_00116,A,34.0,Москва,iOS,2023-02-07
user_00117,B,23.0,Екатеринбург,Android,2024-09-11
user_00118,A,46.0,Москва,Android,2023-06-17
user_00119,B,42.0,Санкт-Петербург,iOS,2025-10-20
user_00120,A,42.0,Новосибирск,iOS,2024-05-31
user_00121,B,25.0,Санкт-Петербург,Android,2024-05-10
user_00122,A,49.0,Москва,iOS,2023-11-09
user_00123,B,20.0,Другой,iOS,2024-12-28
user_00124,A,40.0,Новосибирск,Android,2025-01-01
user_00125,B,56.0,Новосибирск,Android,2024-12-05
user_00126,A,25.0,Санкт-Петербург,iOS,2023-04-26
user_00127,B,29.0,Москва,iOS,2025-10-11
user_00128,A,35.0,,Android,2024-04-16
user_00129,B,29.0,Москва,Android,2024-12-27
user_00130,A,19.0,Москва,iOS,2024-02-17
user_00131,B,35.0,Санкт-Петербург,iOS,2025-10-10
user_00132,A,24.0,Москва,,2025-02-26
user_00133,B,39.0,Екатеринбург,Android,2024-11-09
user_00134,A,25.0,Новосибирск,iOS,2024-10-24
